# source: refs/1311.4561.pdf page 10, frame (164.88, 95.67, 447.81, 305.99)
# axes: x [0.0, 0.918753], y [-0.0132213, 0.1800165]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve b1: colour=(0.247, 0.24, 0.6) dash='[] 0' points=578 x=[0.0100, 0.9000]
# x,b1
0.798806,0.000744549
0.801782,0.000729671
0.804759,0.000714794
0.807736,0.000699917
0.810712,0.000685254
0.813689,0.000670809
0.816666,0.000656364
0.819642,0.000641919
0.822619,0.000627473
0.825596,0.000613028
0.828572,0.000598956
0.831549,0.000585167
0.834526,0.000571378
0.837502,0.00055759
0.840479,0.000543801
0.843456,0.000530012
0.846432,0.00051709
0.849409,0.000504448
0.852385,0.000491805
0.855362,0.000479163
0.858339,0.00046652
0.861315,0.000453877
0.864292,0.000441731
0.867269,0.000430188
0.870245,0.000418646
0.873222,0.000407103
0.876199,0.00039556
0.879175,0.000384018
0.882152,0.000373049
0.885129,0.000362516
0.888105,0.000351999
0.891082,0.000341695
0.894059,0.000331676
0.897035,0.000322076
0.900012,0.000312404
