# source: refs/2109.03591.pdf page 8, frame (319.3, 92.45, 488.83, 202.55)
# axes: x [0.0, 1.0], y [0.6, 1.2]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve R_g1: colour=(1.0, 0.0, 0.0) dash='[] 0' points=66 x=[0.0500, 0.9097]
# curve R_deltag: colour=(1.0, 0.0, 0.0) dash='[ 2.8102425 1.21524 ] 0' points=56 x=[0.0476, 0.8259]
# x,R_g1,R_deltag
0.558621,0.781305,0.798582
0.561216,0.780793,0.798908
0.563811,0.780281,0.799233
0.566406,0.7798,0.799559
0.569001,0.779339,0.799885
0.571596,0.778879,0.800264
0.574191,0.778418,0.800706
0.576786,0.777958,0.801149
0.57938,0.777498,0.801591
0.581975,0.777037,0.802033
0.58457,0.776574,0.802568
0.587165,0.776103,0.803116
0.58976,0.775632,0.803664
0.592355,0.775161,0.804211
0.59495,0.77469,0.804796
0.597545,0.774219,0.805468
0.60014,0.773748,0.80614
0.602735,0.773277,0.806811
0.605329,0.772806,0.807483
0.607924,0.772335,0.808257
0.610519,0.771864,0.809071
0.613114,0.771403,0.809885
0.615709,0.770958,0.810699
0.618304,0.770513,0.811536
0.620899,0.770068,0.812513
0.623494,0.769611,0.813491
0.626089,0.769149,0.814468
0.628684,0.768687,0.815445
0.631278,0.768241,0.816509
0.633873,0.767941,0.81764
0.636468,0.767642,0.818771
0.639063,0.767342,0.819903
0.641658,0.767043,0.821034
0.644253,0.766743,0.822353
0.646848,0.766555,0.823676
0.649443,0.766429,0.824999
0.652038,0.766303,0.826322
0.654633,0.766177,0.827738
0.657227,0.766044,0.829292
0.659822,0.765911,0.830846
0.662417,0.765779,0.8324
0.665012,0.765646,0.833955
0.667607,0.765513,0.835735
0.670202,0.765358,0.837564
0.672797,0.765185,0.839393
0.675392,0.765011,0.841223
0.677987,0.764837,0.843124
0.680582,0.764663,0.845248
0.683176,0.764489,0.847373
0.685771,0.764315,0.849498
0.688366,0.764167,0.851623
0.690961,0.764092,0.853946
0.693556,0.764017,0.856369
0.696151,0.763942,0.858877
0.698746,0.763866,0.861527
0.701341,0.763791,0.864196
0.703936,0.763716,0.867078
0.706531,0.763641,0.869961
0.709125,0.763566,0.873035
0.71172,0.763491,0.876159
0.714315,0.763416,0.879432
0.71691,0.763262,0.882851
0.719505,0.762953,0.886325
0.7221,0.762736,0.890001
0.724695,0.762602,0.893677
0.72729,0.76268,0.89759
0.729885,0.76285,0.901523
0.73248,0.763256,0.905636
0.735074,0.763712,0.909853
0.737669,0.76444,0.914179
0.740264,0.765167,0.918711
0.742859,0.765895,0.923263
0.745454,0.766734,0.928144
0.748049,0.76773,0.933026
0.750644,0.768969,0.938288
0.753239,0.770373,0.943666
0.755834,0.771776,0.949235
0.758429,0.77318,0.955013
0.761023,0.774676,0.960871
0.763618,0.776176,0.967076
0.766213,0.777677,0.973282
0.768808,0.779177,0.979937
0.771403,0.780677,0.986644
0.773998,0.782177,0.993704
0.776593,0.783678,1.00099
0.779188,0.785178,1.0085
0.781783,0.786678,1.01646
0.784378,0.788423,1.02445
0.786972,0.790234,1.03296
0.789567,0.792731,1.04147
0.792162,0.795288,1.05064
0.794757,0.798068,1.06003
0.797352,0.800654,1.06997
0.799947,0.802938,1.08057
0.802542,0.805222,1.09138
0.805137,0.807506,1.10333
0.807732,0.809692,1.11527
0.810327,0.811845,1.12853
0.812921,0.813998,1.14199
0.815516,0.816144,1.15645
0.818111,0.81823,1.17162
0.820706,0.819846,1.18314
0.823301,0.820314,1.1857
0.825896,0.821882,1.18826
