# source: refs/nucl-th_0605061.pdf page 7, frame (82.43, 55.92, 296.11, 187.99)
# axes: x [0.0, 1.0], y [0.55, 1.2]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve R_unpol: colour=(0.182, 0.19, 0.573) dash='[ 1.50769 ] 0' points=252 x=[0.0275, 0.8831]
# curve R_pol_eq26: colour=(0.93, 0.111, 0.141) dash='[] 0' points=251 x=[0.0275, 0.8710]
# curve R_pol_eq23: colour=(0.93, 0.111, 0.141) dash='[ 0 1.50769 ] 0' points=254 x=[0.0275, 0.9078]
# x,R_unpol,R_pol_eq26,R_pol_eq23
0.430913,0.956927,0.913544,0.919974
0.433734,0.956153,0.913282,0.919726
0.436555,0.955379,0.913021,0.919478
0.439375,0.95461,0.912767,0.919231
0.442196,0.953842,0.912513,0.918984
0.445017,0.953083,0.912268,0.918742
0.447838,0.952325,0.912025,0.918501
0.450659,0.951573,0.911786,0.918257
0.45348,0.950824,0.911551,0.918013
0.456301,0.950078,0.911322,0.917772
0.459122,0.949337,0.9111,0.917535
0.461943,0.948598,0.910881,0.917299
0.464764,0.947869,0.910669,0.917065
0.467585,0.94714,0.910457,0.916831
0.470406,0.946421,0.910258,0.916599
0.473226,0.945702,0.910059,0.916367
0.476047,0.944989,0.909869,0.916139
0.478868,0.94428,0.909684,0.915913
0.481689,0.943574,0.909503,0.915689
0.48451,0.942877,0.909333,0.915467
0.487331,0.94218,0.909163,0.915245
0.490152,0.941497,0.909005,0.915029
0.492973,0.940815,0.908847,0.914815
0.495794,0.940139,0.908699,0.914601
0.498615,0.939469,0.90856,0.914389
0.501436,0.9388,0.908422,0.914177
0.504257,0.938143,0.908296,0.91397
0.507077,0.937486,0.908171,0.913763
0.509898,0.936837,0.908056,0.91356
0.512719,0.936193,0.907948,0.91336
0.51554,0.93555,0.907842,0.913161
0.518361,0.934923,0.907755,0.912967
0.521182,0.934295,0.907668,0.912773
0.524003,0.933676,0.90759,0.912582
0.526824,0.933063,0.907519,0.912393
0.529645,0.93245,0.907449,0.912204
0.532466,0.931852,0.907396,0.912021
0.535287,0.931254,0.907343,0.911838
0.538107,0.930662,0.907298,0.911658
0.540928,0.930079,0.907264,0.911481
0.543749,0.929495,0.907231,0.911305
0.54657,0.928926,0.907215,0.911134
0.549391,0.928361,0.907206,0.910966
0.552212,0.927798,0.907198,0.910797
0.555033,0.927248,0.907209,0.910633
0.557854,0.926699,0.90722,0.910468
0.560675,0.926156,0.907237,0.910306
0.563496,0.925626,0.907269,0.910149
0.566317,0.925097,0.907302,0.909992
0.569138,0.924577,0.907347,0.909839
0.571958,0.924065,0.907404,0.909687
0.574779,0.923554,0.90746,0.909536
0.5776,0.923055,0.907534,0.909389
0.580421,0.922561,0.907614,0.909243
0.583242,0.922067,0.907694,0.909098
0.586063,0.921594,0.907798,0.90896
0.588884,0.921122,0.907904,0.908824
0.591705,0.920651,0.908011,0.908687
0.594526,0.920198,0.908141,0.908554
0.597347,0.919746,0.908271,0.90842
0.600168,0.919297,0.908405,0.908288
0.602988,0.918868,0.908564,0.90816
0.605809,0.918438,0.908724,0.908032
0.60863,0.918013,0.908889,0.907904
0.611451,0.917608,0.909078,0.907781
0.614272,0.917203,0.909266,0.907658
0.617093,0.916802,0.90946,0.907537
