# source: refs/2109.03591.pdf page 8, frame (117.25, 92.06, 287.23, 202.45)
# axes: x [0.0, 1.0], y [0.6, 1.2]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve R_F2_nlo: colour=(1.0, 0.0, 0.0) dash='[] 0' points=63 x=[0.0467, 0.9114]
# curve R_gluon_nlo: colour=(1.0, 0.0, 0.0) dash='[ 2.8176797 1.218456 ] 0' points=52 x=[0.0467, 0.8179]
# curve R_F2_nnlo: colour=(0.0, 0.0, 1.0) dash='[] 0' points=58 x=[0.0467, 0.9114]
# curve R_gluon_nnlo: colour=(0.0, 0.0, 1.0) dash='[ 2.8176797 1.218456 ] 0' points=49 x=[0.0467, 0.8062]
# x,R_F2_nlo,R_gluon_nlo,R_F2_nnlo,R_gluon_nnlo
0.328701,0.979217,0.897946,0.966698,0.893811
0.331242,0.977789,0.897166,0.965466,0.893038
0.333782,0.976361,0.896387,0.964235,0.892283
0.336322,0.974933,0.895608,0.963003,0.89157
0.338862,0.973504,0.894829,0.961771,0.890856
0.341402,0.972076,0.89405,0.960611,0.890143
0.343942,0.970648,0.893271,0.95945,0.88943
0.346482,0.96922,0.89253,0.958289,0.888716
0.349022,0.967791,0.891806,0.957128,0.888003
0.351562,0.966363,0.891081,0.955967,0.887289
0.354103,0.964935,0.890356,0.954806,0.886576
0.356643,0.963506,0.889632,0.953645,0.885863
0.359183,0.962073,0.888907,0.952484,0.885149
0.361723,0.960639,0.888182,0.951323,0.884436
0.364263,0.959206,0.887458,0.950162,0.883771
0.366803,0.957772,0.886733,0.949001,0.883119
0.369343,0.956339,0.886008,0.94784,0.882467
0.371883,0.954905,0.885284,0.946679,0.881814
0.374423,0.953472,0.884572,0.945518,0.881162
0.376964,0.952038,0.88391,0.944357,0.88051
0.379504,0.950605,0.883249,0.943196,0.879858
0.382044,0.949171,0.882588,0.942035,0.879205
0.384584,0.947738,0.881926,0.940875,0.878553
0.387124,0.946305,0.881265,0.939713,0.877938
0.389664,0.944871,0.880604,0.93855,0.877347
0.392204,0.943438,0.879942,0.937388,0.876756
0.394744,0.942004,0.879281,0.936225,0.876165
0.397284,0.940571,0.87862,0.935063,0.875574
0.399825,0.939137,0.877958,0.9339,0.874983
0.402365,0.937704,0.877297,0.932738,0.874392
0.404905,0.93627,0.876682,0.931575,0.873801
0.407445,0.934837,0.876086,0.930413,0.87321
0.409985,0.933403,0.87549,0.92925,0.872646
0.412525,0.93197,0.874894,0.928088,0.872124
0.415065,0.930536,0.874298,0.926925,0.871602
0.417605,0.929103,0.873702,0.925763,0.871079
0.420145,0.927669,0.873106,0.9246,0.870557
0.422686,0.926236,0.872511,0.923438,0.870035
0.425226,0.924802,0.871915,0.922275,0.869513
0.427766,0.923397,0.871352,0.921113,0.86899
0.430306,0.92202,0.870823,0.91995,0.868468
0.432846,0.920643,0.870294,0.918787,0.867961
0.435386,0.919265,0.869765,0.917625,0.867517
0.437926,0.917888,0.869236,0.916462,0.867073
0.440466,0.916511,0.868707,0.9153,0.866628
0.443006,0.915134,0.868178,0.914137,0.866184
0.445547,0.913756,0.867649,0.912975,0.865739
0.448087,0.912379,0.86712,0.911812,0.865295
0.450627,0.911002,0.866613,0.910648,0.864851
0.453167,0.909625,0.866159,0.909477,0.864406
0.455707,0.908248,0.865705,0.908307,0.863962
0.458247,0.90687,0.86525,0.907137,0.863594
0.460787,0.905493,0.864796,0.905967,0.863227
0.463327,0.904155,0.864342,0.904797,0.862859
0.465867,0.902834,0.863887,0.903627,0.862491
0.468408,0.901513,0.863433,0.902457,0.862123
0.470948,0.900191,0.862979,0.901287,0.861756
0.473488,0.89887,0.862532,0.900116,0.861396
0.476028,0.897549,0.862153,0.898946,0.861102
0.478568,0.896228,0.861774,0.897776,0.860809
0.481108,0.894907,0.861395,0.896606,0.860515
0.483648,0.893585,0.861017,0.895436,0.860222
0.486188,0.892264,0.860638,0.894266,0.859928
0.488728,0.890943,0.860259,0.893096,0.859635
0.491269,0.889633,0.859895,0.891925,0.859358
0.493809,0.88837,0.859589,0.890755,0.859149
0.496349,0.887108,0.859284,0.889585,0.85894
0.498889,0.885845,0.858978,0.888415,0.858731
0.501429,0.884582,0.858673,0.887245,0.858522
0.503969,0.883319,0.858367,0.886075,0.858312
0.506509,0.882056,0.858061,0.884905,0.858103
0.509049,0.880793,0.857781,0.883734,0.857923
0.511589,0.87953,0.857557,0.882564,0.857809
0.51413,0.878267,0.857334,0.881394,0.857695
0.51667,0.877004,0.857111,0.880224,0.857582
0.51921,0.875741,0.856888,0.879054,0.857468
0.52175,0.87452,0.856664,0.877937,0.857354
0.52429,0.873317,0.856441,0.876843,0.857241
0.52683,0.872114,0.856257,0.875749,0.85717
0.52937,0.870911,0.85613,0.874655,0.857165
0.53191,0.869708,0.856003,0.873561,0.85716
0.53445,0.868505,0.855876,0.872467,0.857155
0.536991,0.867302,0.855749,0.871374,0.85715
0.539531,0.866099,0.855622,0.87028,0.857145
0.542071,0.864896,0.855495,0.869186,0.85714
0.544611,0.863693,0.855421,0.868129,0.857197
0.547151,0.862489,0.855402,0.867109,0.857316
0.549691,0.8613,0.855382,0.866089,0.857436
0.552231,0.860162,0.855362,0.86507,0.857556
0.554771,0.859025,0.855342,0.86405,0.857675
0.557312,0.857887,0.855322,0.86303,0.857795
0.559852,0.85675,0.855302,0.86201,0.857915
0.562392,0.855613,0.855343,0.86104,0.858106
0.564932,0.854475,0.855426,0.860101,0.858344
0.567472,0.853338,0.855509,0.859163,0.858583
0.570012,0.8522,0.855592,0.858225,0.858822
0.572552,0.851063,0.855675,0.857287,0.85906
0.575092,0.849926,0.855855,0.856349,0.859412
0.577632,0.848788,0.856034,0.855411,0.859763
0.580173,0.847693,0.856214,0.85454,0.860115
0.582713,0.846616,0.856394,0.853697,0.860466
0.585253,0.84554,0.856615,0.852854,0.860867
0.587793,0.844463,0.856899,0.852012,0.861341
0.590333,0.843386,0.857184,0.851169,0.861816
0.592873,0.842309,0.857468,0.850326,0.862291
