# source: refs/1702.05337.pdf page 10, frame (106.07, 82.89, 263.6, 183.77)
# axes: x [0.0, 1.6], y [-0.002, 0.004]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve xb1_theory1_q2_1p0: colour=(0.0, 0.0, 1.0) dash='[ 2.8781203 2.8781203 ] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_q2_2p5: colour=(0.0, 0.0, 1.0) dash='[] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_q2_5p0: colour=(0.0, 0.0, 1.0) dash='[ 1.15125 2.3025 ] 0' points=317 x=[0.0050, 1.5850]
# curve xb1_theory2_q2_1p0: colour=(0.037, 0.833, 0.0) dash='[ 2.8781203 2.8781203 ] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_q2_2p5: colour=(0.037, 0.833, 0.0) dash='[] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_q2_5p0: colour=(0.037, 0.833, 0.0) dash='[ 1.15125 2.3025 ] 0' points=159 x=[0.0100, 1.5900]
# x,xb1_theory1_q2_1p0,xb1_theory1_q2_2p5,xb1_theory1_q2_5p0,xb1_theory2_q2_1p0,xb1_theory2_q2_2p5,xb1_theory2_q2_5p0
1.05827,0.00184995,0.000290217,8.89741e-05,0.00039449,0.000139525,6.9323e-05
1.06354,0.00181237,0.000278319,8.35486e-05,0.000386036,0.000134489,6.58853e-05
1.0688,0.0017752,0.000266793,7.83488e-05,0.000377664,0.000129568,6.25311e-05
1.07407,0.00173859,0.000255683,7.35022e-05,0.000369541,0.000124842,5.94208e-05
1.07934,0.00170246,0.000245065,6.88934e-05,0.000361492,0.000120174,5.63836e-05
1.08461,0.00166685,0.000234821,6.44874e-05,0.000353663,0.000115807,5.35626e-05
1.08987,0.00163177,0.000224947,6.0391e-05,0.000345866,0.000111486,5.07738e-05
1.09514,0.00159728,0.000215481,5.65007e-05,0.000338372,0.000107439,4.823e-05
1.10041,0.00156334,0.000206424,5.27606e-05,0.000330904,0.000103417,4.57114e-05
1.10568,0.00152998,0.00019763,4.92902e-05,0.000323662,9.96231e-05,4.34231e-05
1.11095,0.00149709,0.000189232,4.60943e-05,0.00031648,9.5884e-05,4.11731e-05
1.11621,0.00146475,0.000181202,4.2966e-05,0.000309583,9.24055e-05,3.91047e-05
1.12148,0.00143306,0.000173473,4.01003e-05,0.000302758,8.89794e-05,3.70799e-05
1.12675,0.00140192,0.000166083,3.73439e-05,0.000296121,8.56899e-05,3.51685e-05
1.13202,0.00137128,0.000158956,3.47829e-05,0.000289566,8.25073e-05,3.33286e-05
1.13728,0.00134121,0.000152175,3.23688e-05,0.000283143,7.95006e-05,3.16064e-05
1.14255,0.00131167,0.000145649,3.00764e-05,0.00027687,7.65831e-05,2.99585e-05
1.14782,0.00128266,0.000139386,2.79486e-05,0.000270758,7.37629e-05,2.83915e-05
1.15309,0.00125421,0.000133388,2.59518e-05,0.000264795,7.10532e-05,2.69343e-05
1.15835,0.00122631,0.000127662,2.40901e-05,0.000258939,6.84232e-05,2.55562e-05
1.16362,0.00119886,0.00012215,2.22736e-05,0.000253249,6.59401e-05,2.42411e-05
1.16889,0.00117193,0.000116878,2.06384e-05,0.000247637,6.35253e-05,2.29553e-05
1.17416,0.00114555,0.000111832,1.9075e-05,0.000242232,6.12135e-05,2.17705e-05
1.17943,0.00111969,0.000107088,1.7615e-05,0.000236884,5.89298e-05,2.06134e-05
1.18469,0.00109425,0.000102497,1.62268e-05,0.000231685,5.68346e-05,1.95361e-05
1.18996,0.00106922,9.80303e-05,1.49037e-05,0.000226506,5.47642e-05,1.84693e-05
1.19523,0.00104483,9.37793e-05,1.37783e-05,0.000221648,5.27905e-05,1.75293e-05
1.2005,0.00102091,8.9775e-05,1.26574e-05,0.000216801,5.08317e-05,1.65991e-05
1.20576,0.000997391,8.58757e-05,1.1648e-05,0.000212042,4.9014e-05,1.57543e-05
1.21103,0.000974367,8.22497e-05,1.06075e-05,0.000207324,4.72322e-05,1.49211e-05
1.2163,0.000951692,7.87254e-05,9.69704e-06,0.000202784,4.56036e-05,1.41374e-05
1.22157,0.000929559,7.53625e-05,8.88311e-06,0.000198317,4.3984e-05,1.3381e-05
1.22684,0.000907781,7.21283e-05,8.09083e-06,0.000194026,4.23861e-05,1.2691e-05
1.2321,0.000886431,6.90567e-05,7.36515e-06,0.000189781,4.08244e-05,1.20259e-05
1.23737,0.000865474,6.60656e-05,6.67386e-06,0.000185608,3.9319e-05,1.13996e-05
1.24264,0.000844929,6.32476e-05,6.04639e-06,0.000181547,3.79081e-05,1.08043e-05
1.24791,0.000824783,6.05579e-05,5.48228e-06,0.000177602,3.6593e-05,1.02404e-05
1.25317,0.000805057,5.80021e-05,4.91663e-06,0.00017375,3.52974e-05,9.71309e-06
1.25844,0.000785689,5.55766e-05,4.39275e-06,0.000169959,3.40148e-05,9.2104e-06
1.26371,0.000766659,5.32379e-05,3.89411e-06,0.000166257,3.28176e-05,8.73171e-06
1.26898,0.000748036,5.09682e-05,3.44032e-06,0.000162593,3.16574e-05,8.26341e-06
1.27424,0.000729706,4.88119e-05,2.99972e-06,0.000159048,3.05473e-05,7.8173e-06
1.27951,0.000711778,4.67325e-05,2.66712e-06,0.000155534,2.94498e-05,7.37678e-06
1.28478,0.000694168,4.47799e-05,2.2987e-06,0.00015217,2.84399e-05,6.99614e-06
1.29005,0.000676943,4.28985e-05,1.92475e-06,0.000148823,2.74395e-05,6.62196e-06
1.29532,0.000660031,4.11455e-05,1.66889e-06,0.000145626,2.64981e-05,6.27563e-06
1.30058,0.000643455,3.9448e-05,1.36841e-06,0.000142442,2.55601e-05,5.93296e-06
1.30585,0.00062723,3.77362e-05,1.17117e-06,0.000139372,2.46503e-05,5.62141e-06
1.31112,0.000611293,3.62159e-05,9.19394e-07,0.000136328,2.37666e-05,5.31569e-06
1.31639,0.000595635,3.46804e-05,6.86408e-07,0.000133382,2.29841e-05,5.03252e-06
1.32165,0.000580291,3.32593e-05,5.17798e-07,0.000130475,2.22012e-05,4.75946e-06
1.32692,0.000565241,3.19022e-05,3.47614e-07,0.000127657,2.14175e-05,4.50906e-06
1.33219,0.000550502,3.05874e-05,1.49311e-07,0.000124877,2.06596e-05,4.27197e-06
1.33746,0.000536051,2.93303e-05,2.31477e-08,0.000122152,1.9939e-05,4.05407e-06
1.34272,0.000521868,2.81394e-05,-1.0301e-07,0.000119474,1.92503e-05,3.83507e-06
1.34799,0.000507937,2.6982e-05,-2.29293e-07,0.000116841,1.85921e-05,3.61504e-06
1.35326,0.000494296,2.5893e-05,-3.53227e-07,0.000114285,1.79538e-05,3.4337e-06
1.35853,0.000480922,2.48699e-05,-4.35007e-07,0.000111779,1.73281e-05,3.27681e-06
1.3638,0.000467828,2.38687e-05,-5.42612e-07,0.00010934,1.67234e-05,3.09677e-06
1.36906,0.000454983,2.28637e-05,-6.21985e-07,0.000106928,1.61271e-05,2.90754e-06
1.37433,0.0004424,2.19135e-05,-6.83915e-07,0.000104592,1.55838e-05,2.7464e-06
1.3796,0.000430045,2.10836e-05,-6.92006e-07,0.000102273,1.50524e-05,2.59158e-06
1.38487,0.000417949,2.02107e-05,-8.07603e-07,0.000100042,1.45193e-05,2.46305e-06
1.39013,0.000406093,1.93982e-05,-8.74623e-07,9.78206e-05,1.39872e-05,2.33693e-06
1.3954,0.00039443,1.8643e-05,-9.31597e-07,9.56586e-05,1.35184e-05,2.21257e-06
1.40067,0.000383062,1.78984e-05,-9.31597e-07,9.35076e-05,1.30531e-05,2.08797e-06
1.40594,0.000371895,1.72095e-05,-9.42138e-07,9.14373e-05,1.2613e-05,1.96168e-06
1.4112,0.000361016,1.65202e-05,-9.89679e-07,8.93888e-05,1.21735e-05,1.84269e-06
1.41647,0.000350319,1.58474e-05,-9.89679e-07,8.74163e-05,1.17358e-05,1.74904e-06
1.42174,0.000339873,1.52426e-05,-1.0095e-06,8.54536e-05,1.13185e-05,1.65538e-06
1.42701,0.000329649,1.46312e-05,-1.04776e-06,8.35116e-05,1.09439e-05,1.56172e-06
1.43228,0.000319581,1.40225e-05,-1.04776e-06,8.16224e-05,1.05682e-05,1.46802e-06
1.43754,0.000309733,1.34922e-05,-1.04776e-06,7.98048e-05,1.01913e-05,1.37426e-06
1.44281,0.000300071,1.29594e-05,-1.04776e-06,7.7987e-05,9.83174e-06,1.2967e-06
1.44808,0.00029067,1.24571e-05,-1.04776e-06,7.61693e-05,9.48769e-06,1.23362e-06
1.45335,0.000281438,1.19562e-05,-1.04776e-06,7.42542e-05,9.16285e-06,1.17055e-06
1.45861,0.000272449,1.14582e-05,-1.00621e-06,7.22816e-05,8.84938e-06,1.10747e-06
1.46388,0.000263598,1.1e-05,-9.89679e-07,7.06746e-05,8.53567e-06,1.04435e-06
1.46915,0.000254952,1.06099e-05,-9.89679e-07,6.92033e-05,8.22189e-06,9.81206e-07
1.47442,0.000246534,1.01847e-05,-9.89679e-07,6.77032e-05,7.93516e-06,8.94181e-07
1.47969,0.000238284,9.74438e-06,-9.89679e-07,6.61974e-05,7.6539e-06,8.02339e-07
1.48495,0.000230189,9.36508e-06,-9.32439e-07,6.46644e-05,7.37111e-06,7.65982e-07
1.49022,0.000222424,8.93127e-06,-9.31597e-07,6.31318e-05,7.08938e-06,7.33556e-07
1.49549,0.000214684,8.61284e-06,-9.31597e-07,6.166e-05,6.83899e-06,7.02974e-07
1.50076,0.000207186,8.25455e-06,-9.23241e-07,6.01924e-05,6.5886e-06,6.67957e-07
1.50602,0.000199877,7.97912e-06,-8.73514e-07,5.87512e-05,6.3382e-06,6.04879e-07
1.51129,0.000192723,7.63374e-06,-8.73514e-07,5.73246e-05,6.10273e-06,5.49052e-07
1.51656,0.000185755,7.34584e-06,-8.73514e-07,5.59451e-05,5.91522e-06,5.16525e-07
1.52183,0.000178965,6.99163e-06,-8.51395e-07,5.45767e-05,5.71665e-06,4.84649e-07
1.52709,0.000172307,6.70181e-06,-8.11801e-07,5.32297e-05,5.49662e-06,4.54036e-07
1.53236,0.000165812,6.45117e-06,-8.11801e-07,5.19104e-05,5.27669e-06,4.36975e-07
1.53763,0.000159484,6.17067e-06,-7.49651e-07,5.06259e-05,5.05687e-06,4.36975e-07
1.5429,0.000153323,5.92572e-06,-6.92006e-07,4.93757e-05,4.85472e-06,4.19314e-07
1.54817,0.000147358,5.66348e-06,-6.92006e-07,4.81543e-05,4.6674e-06,3.86819e-07
1.55343,0.000141544,5.43106e-06,-6.52555e-07,4.69333e-05,4.49968e-06,3.35811e-07
1.5587,0.000135864,5.20095e-06,-6.33923e-07,4.57126e-05,4.34279e-06,2.74584e-07
1.56397,0.000130315,4.9951e-06,-6.33923e-07,4.45371e-05,4.16316e-06,2.3625e-07
1.56924,0.000125007,4.75528e-06,-5.82087e-07,4.33768e-05,3.97584e-06,2.05667e-07
1.5745,0.000119743,4.5612e-06,-5.72211e-07,4.22448e-05,3.84027e-06,2.01014e-07
1.57977,0.000114643,4.37064e-06,-5.72211e-07,4.11178e-05,3.71399e-06,2.01014e-07
1.58504,0.000109756,4.1833e-06,-5.14128e-07,4.00493e-05,3.55891e-06,1.70157e-07
