# source: refs/1806.00481.pdf page 9, frame (207.03, 116.67, 403.28, 258.42)
# axes: x [0.0, 1.0], y [0.6, 1.2]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve R_unpol: colour=(0.0, 0.0, 1.0) dash='[] 0' points=61 x=[0.0015, 0.7392]
# curve R_pol: colour=(0.75, 0.0, 0.75) dash='[ 2.4 2.4 ] 0' points=67 x=[0.0015, 0.7392]
# x,R_unpol,R_pol
0.482588,0.859337,0.86031
0.485055,0.857958,0.858771
0.487522,0.856573,0.857209
0.489989,0.855175,0.855571
0.492456,0.853776,0.853933
0.494923,0.852378,0.852295
0.49739,0.850979,0.850657
0.499857,0.849581,0.849019
0.502324,0.848182,0.847344
0.504791,0.846783,0.845626
0.507258,0.845385,0.843908
0.509725,0.843986,0.842191
0.512192,0.842588,0.840473
0.514659,0.841189,0.838755
0.517126,0.839791,0.837021
0.519593,0.838392,0.835273
0.52206,0.836993,0.833525
0.524527,0.835595,0.831776
0.526994,0.834196,0.830028
0.529461,0.832798,0.82828
0.531928,0.831399,0.826532
0.534395,0.830001,0.824783
0.536862,0.828602,0.823035
0.539329,0.827237,0.821287
0.541796,0.825944,0.819539
0.544263,0.824651,0.81779
0.54673,0.823358,0.816042
0.549197,0.822065,0.814294
0.551664,0.820773,0.812546
0.554131,0.81948,0.810797
0.556598,0.818283,0.809154
0.559065,0.817092,0.807517
0.561532,0.815901,0.80588
0.563999,0.814776,0.804308
0.566466,0.813682,0.802766
0.568933,0.812587,0.801224
0.5714,0.811539,0.79973
0.573867,0.810567,0.798315
0.576334,0.809595,0.7969
0.578801,0.808626,0.795488
0.581268,0.807805,0.794235
0.583735,0.806984,0.792982
0.586202,0.806163,0.791729
0.58867,0.805457,0.790601
0.591137,0.80482,0.789549
0.593604,0.804183,0.788497
0.596071,0.803585,0.787487
0.598538,0.80317,0.786679
0.601005,0.802755,0.785871
0.603472,0.80234,0.785063
0.605939,0.802104,0.784452
0.608406,0.801955,0.783938
0.610873,0.801805,0.783423
0.61334,0.801695,0.782951
0.615807,0.801862,0.782786
0.618274,0.80203,0.78262
0.620741,0.802197,0.782454
0.623208,0.802562,0.782506
0.625675,0.803107,0.782755
0.628142,0.803653,0.783005
0.630609,0.804198,0.783254
0.633076,0.805136,0.783931
0.635543,0.806134,0.784674
0.63801,0.807132,0.785416
0.640477,0.808218,0.786253
0.642944,0.809759,0.787582
0.645411,0.811301,0.788912
0.647878,0.812843,0.790241
0.650345,0.814647,0.791852
0.652812,0.816847,0.793884
0.655279,0.819046,0.795917
0.657746,0.821245,0.797949
0.660213,0.823913,0.800477
0.66268,0.826914,0.803358
0.665147,0.829915,0.806238
0.667614,0.832917,0.809119
0.670081,0.836622,0.812736
0.672548,0.840611,0.81665
0.675015,0.8446,0.820564
0.677482,0.84859,0.824477
0.679949,0.853547,0.829393
0.682416,0.858767,0.834581
0.684883,0.863987,0.839768
0.68735,0.869208,0.844956
0.689817,0.875677,0.851423
0.692284,0.882454,0.858205
0.694751,0.889231,0.864988
0.697218,0.896008,0.87177
0.699685,0.904305,0.880096
0.702152,0.913082,0.888908
0.704619,0.921858,0.897719
0.707086,0.930634,0.906531
0.709553,0.941139,0.917084
0.71202,0.952533,0.928531
0.714487,0.963926,0.939978
0.716954,0.97532,0.951426
0.719421,0.988467,0.964628
0.721888,1.00336,0.979578
0.724355,1.01826,0.994529
0.726822,1.03315,1.00948
0.729289,1.0494,1.02577
0.731756,1.06909,1.04551
0.734223,1.08879,1.06524
0.73669,1.10849,1.08497
0.739158,1.12819,1.10471
